info	Evidence level	kit	Counts
Chemicals	1A	IDT	5
Chemicals	1A	roche	6
Chemicals	1A	V6	5
Chemicals	1A	V7	5
Chemicals	1B	IDT	2
Chemicals	1B	roche	2
Chemicals	1B	V6	3
Chemicals	1B	V7	2
Chemicals	2A	IDT	9
Chemicals	2A	roche	9
Chemicals	2A	V6	10
Chemicals	2A	V7	9
Chemicals	2B	IDT	9
Chemicals	2B	roche	11
Chemicals	2B	V6	10
Chemicals	2B	V7	9
Chemicals	3	IDT	326
Chemicals	3	roche	345
Chemicals	3	V6	368
Chemicals	3	V7	337
Chemicals	4	IDT	68
Chemicals	4	roche	74
Chemicals	4	V6	75
Chemicals	4	V7	69
Gene	1A	IDT	5
Gene	1A	roche	6
Gene	1A	V6	5
Gene	1A	V7	5
Gene	1B	IDT	2
Gene	1B	roche	2
Gene	1B	V6	3
Gene	1B	V7	2
Gene	2A	IDT	9
Gene	2A	roche	10
Gene	2A	V6	11
Gene	2A	V7	9
Gene	2B	IDT	10
Gene	2B	roche	12
Gene	2B	V6	11
Gene	2B	V7	10
Gene	3	IDT	386
Gene	3	roche	408
Gene	3	V6	432
Gene	3	V7	405
Gene	4	IDT	66
Gene	4	roche	71
Gene	4	V6	73
Gene	4	V7	67
pos	1A	IDT	15
pos	1A	roche	16
pos	1A	V6	19
pos	1A	V7	15
pos	1B	IDT	2
pos	1B	roche	2
pos	1B	V6	3
pos	1B	V7	2
pos	2A	IDT	9
pos	2A	roche	10
pos	2A	V6	13
pos	2A	V7	9
pos	2B	IDT	12
pos	2B	roche	14
pos	2B	V6	13
pos	2B	V7	12
pos	3	IDT	586
pos	3	roche	635
pos	3	V6	680
pos	3	V7	630
pos	4	IDT	111
pos	4	roche	116
pos	4	V6	122
pos	4	V7	112
